#ppt,"","","","","","","","","","","","","","","","","",""
"",eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2054-04-01T00:00:00Z,7.58096,7.58096,7.58096,7.58096,7.58096,7.58096,0,0,0,0,0,0,0,0,0,0,0,0
2054-05-01T00:00:00Z,10.97564,10.97564,10.97564,10.97564,10.97564,10.97564,0,0,0,0,0,0,0,0,0,0,0,0
2054-06-01T00:00:00Z,15.20367,15.20367,15.20367,15.20367,15.20367,15.20367,0,0,0,0,0,0,0,0,0,0,0,0
2054-07-01T00:00:00Z,17.1151,17.1151,17.1151,17.1151,17.1151,17.1151,0,0,0,0,0,0,0,0,0,0,0,0
2054-08-01T00:00:00Z,17.20095,17.20095,17.20095,17.20095,17.20095,17.20095,0,0,0,0,0,0,0,0,0,0,0,0
2054-09-01T00:00:00Z,14.28582,14.28582,14.28582,14.28582,14.28582,14.28582,0,0,0,0,0,0,0,0,0,0,0,0
2054-10-01T00:00:00Z,9.44998000000004,9.44998000000004,9.44998000000004,9.44998000000004,9.44998000000004,9.44998000000004,0,0,0,0,0,0,0,0,0,0,0,0
2054-11-01T00:00:00Z,3.58230000000003,3.58230000000003,3.58230000000003,3.58230000000003,3.58230000000003,3.58230000000003,0,0,0,0,0,0,0,0,0,0,0,0
2054-12-01T00:00:00Z,-1.4853,-1.4853,-1.4853,-1.4853,-1.4853,-1.4853,0,0,0,0,0,0,0,0,0,0,0,0
2055-01-01T00:00:00Z,-2.24255999999997,-2.24255999999997,-2.24255999999997,-2.24255999999997,-2.24255999999997,-2.24255999999997,0,0,0,0,0,0,0,0,0,0,0,0
2055-02-01T00:00:00Z,0.818700000000035,0.818700000000035,0.818700000000035,0.818700000000035,0.818700000000035,0.818700000000035,0,0,0,0,0,0,0,0,0,0,0,0
2055-03-01T00:00:00Z,4.64144000000005,4.64144000000005,4.64144000000005,4.64144000000005,4.64144000000005,4.64144000000005,0,0,0,0,0,0,0,0,0,0,0,0
2055-04-01T00:00:00Z,6.60327000000001,6.60327000000001,6.60327000000001,6.60327000000001,6.60327000000001,6.60327000000001,0,0,0,0,0,0,0,0,0,0,0,0
2055-05-01T00:00:00Z,11.66253,11.66253,11.66253,11.66253,11.66253,11.66253,0,0,0,0,0,0,0,0,0,0,0,0
2055-06-01T00:00:00Z,14.26763,14.26763,14.26763,14.26763,14.26763,14.26763,0,0,0,0,0,0,0,0,0,0,0,0
2055-07-01T00:00:00Z,18.3848,18.3848,18.3848,18.3848,18.3848,18.3848,0,0,0,0,0,0,0,0,0,0,0,0
2055-08-01T00:00:00Z,17.48654,17.48654,17.48654,17.48654,17.48654,17.48654,0,0,0,0,0,0,0,0,0,0,0,0
2055-09-01T00:00:00Z,13.56463,13.56463,13.56463,13.56463,13.56463,13.56463,0,0,0,0,0,0,0,0,0,0,0,0
2055-10-01T00:00:00Z,7.63625000000002,7.63625000000002,7.63625000000002,7.63625000000002,7.63625000000002,7.63625000000002,0,0,0,0,0,0,0,0,0,0,0,0
2055-11-01T00:00:00Z,4.31564000000003,4.31564000000003,4.31564000000003,4.31564000000003,4.31564000000003,4.31564000000003,0,0,0,0,0,0,0,0,0,0,0,0
2055-12-01T00:00:00Z,-0.181099999999958,-0.181099999999958,-0.181099999999958,-0.181099999999958,-0.181099999999958,-0.181099999999958,0,0,0,0,0,0,0,0,0,0,0,0
